month,country,confidence_index
2018-12-01,ZAF,101.2754
2019-01-01,ZAF,101.1188
2019-02-01,ZAF,100.9377
2019-03-01,ZAF,100.8301
2019-04-01,ZAF,100.8618
2019-05-01,ZAF,100.9172
2019-06-01,ZAF,100.8218
2019-07-01,ZAF,100.4412
2019-08-01,ZAF,99.92963
2019-09-01,ZAF,99.49535
2019-10-01,ZAF,99.29529
2019-11-01,ZAF,99.25332
2019-12-01,ZAF,99.2603
2020-01-01,ZAF,99.21603
2020-02-01,ZAF,99.02225
2020-03-01,ZAF,98.52425
2020-04-01,ZAF,97.60189
2020-05-01,ZAF,96.56494
2020-06-01,ZAF,95.8429
2020-07-01,ZAF,95.78952
2020-08-01,ZAF,96.17228
2020-09-01,ZAF,96.73938
2020-10-01,ZAF,97.35044
2020-11-01,ZAF,97.92303
2020-12-01,ZAF,98.3864
2021-01-01,ZAF,98.67387
2021-02-01,ZAF,98.8243
2021-03-01,ZAF,98.84873
2021-04-01,ZAF,98.73392
2021-05-01,ZAF,98.57209
2021-06-01,ZAF,98.4702
2021-07-01,ZAF,98.50647
2021-08-01,ZAF,98.62679
2021-09-01,ZAF,98.76254
2021-10-01,ZAF,98.86432
2021-11-01,ZAF,98.92029
2021-12-01,ZAF,98.9057
2022-01-01,ZAF,98.77831
2022-02-01,ZAF,98.5443
2022-03-01,ZAF,98.18026
2022-04-01,ZAF,97.66179
2022-05-01,ZAF,97.12211
2022-06-01,ZAF,96.7543
2022-07-01,ZAF,96.73475
2022-08-01,ZAF,96.97466
2022-09-01,ZAF,97.39644
2022-10-01,ZAF,97.95055
2022-11-01,ZAF,98.45042
2022-12-01,ZAF,98.6347
2023-01-01,ZAF,98.28355
2023-02-01,ZAF,97.6506
2023-03-01,ZAF,97.04385
2023-04-01,ZAF,96.68828
2023-05-01,ZAF,96.56227
2023-06-01,ZAF,96.65052
2023-07-01,ZAF,96.96729
2023-08-01,ZAF,97.36551
2023-09-01,ZAF,97.68212
2023-10-01,ZAF,97.80212
2023-11-01,ZAF,97.80405
2023-12-01,ZAF,97.78871
2024-01-01,ZAF,97.82587
2024-02-01,ZAF,97.91821
2024-03-01,ZAF,98.06691
2024-04-01,ZAF,98.28197
2024-05-01,ZAF,98.53627
2024-06-01,ZAF,98.80725
2024-07-01,ZAF,99.07939
2024-08-01,ZAF,99.33001
2024-09-01,ZAF,99.51387
2024-10-01,ZAF,99.56931
2024-11-01,ZAF,99.49123
2024-12-01,ZAF,99.22421
